Temperature,Humidity,Wind Speed,Wind Bearing,Visibility,Pressure,Disease,Disease in number
18.7,77,6.9,63,11,1015.5,Early Blight,1
23.4,64,4.6,137,8.9,1017,Late Blight,0
20.1,72,3.2,188,10,1014.8,Early Blight,1
25.6,61,7.1,282,9.6,1015.2,Late Blight,0
19.5,78,5.5,104,12.5,1016.1,Early Blight,1
22.2,65,2.8,200,9.1,1013.9,Late Blight,0
22.4,65,4.9,154,9.2,1014.5,Early Blight,1
19.8,73,5.3,211,10.8,1013.2,Late Blight,0
24.1,62,6.7,278,8.5,1015.8,Late Blight,0
21.2,68,3.4,107,11.5,1014.2,Early Blight,1
20.3,75,4.1,192,9.8,1013.5,Early Blight,1
23.5,63,7.2,305,7.9,1016.3,Late Blight,0
22.3,72,5.1,179,10,1015.5,Early Blight,1
24.5,65,7.2,245,8.9,1016.2,Late Blight,0
19.8,76,3.3,120,11.1,1014.8,Early Blight,1
26.1,60,8.4,305,9.4,1014.9,Late Blight,0
21.2,75,4.9,100,12.3,1015.8,Early Blight,1
23.7,67,2.1,214,9.2,1014,Late Blight,0
20.5,74,4.3,153,10.2,1014.7,Early Blight,1
24.1,63,6.8,258,9.1,1016.5,Late Blight,0
18.8,77,3.7,97,11.5,1015.1,Early Blight,1
25.3,59,7.8,331,8.7,1015.6,Late Blight,0
22,73,5,182,11.8,1016,Early Blight,1
23.5,66,2.5,209,9.8,1013.8,Late Blight,0
21.1,75,4.9,112,12,1015.7,Early Blight,1
24.7,62,7.5,282,8.5,1016.7,Late Blight,0
19.9,76,3.1,139,11.2,1014.9,Early Blight,1
26.5,56,9.2,15,8.3,1014.2,Late Blight,0
20.9,72,4.1,175,10.5,1014.8,Early Blight,1
25,60,8.2,307,9,1015.1,Late Blight,0
22.8,69,5.7,134,11.1,1016.1,Early Blight,1
23.9,65,2.2,223,9.5,1014.1,Late Blight,0
21.6,74,4.6,95,12.1,1015.6,Early Blight,1
25.2,61,7.6,294,8.6,1016.3,Late Blight,0
18.5,78,3.5,76,11.9,1015.3,Early Blight,1
26.2,58,8.6,19,8.1,1014.5,Late Blight,0
20.7,73,4.5,162,10.8,1014.6,Early Blight,1
24.9,59,8,321,8.8,1015.5,Late Blight,0
22.3,71,5.3,145,11.4,1015.9,Early Blight,1
24,64,2.4,198,9.7,1014.2,Late Blight,0
21.4,76,4.8,103,12.2,1016.2,Early Blight,1
25.8,57,9,46,8.4,1014.3,Late Blight,0
19.7,77,3,113,11.3,1015,Early Blight,1
27,55,9.5,7,8,1014.1,Late Blight,0
20.3,75,4.2,139,10.9,1014.9,Early Blight,1
23.8,63,7.4,275,8.4,1016.6,Late Blight,0
21.9,72,5.2,168,11.7,1015.7,Early Blight,1
20.3,72,4.8,98,11.1,1016,Early Blight,1
22.5,68,5.6,135,10.2,1015.2,Late Blight,0
23.1,64,7.9,255,9.5,1014.8,Late Blight,0
18.6,78,3.2,182,12.8,1015.5,Early Blight,1
21.8,70,6.5,211,10.6,1014.7,Late Blight,0
19.7,74,4.3,125,11.4,1016.3,Early Blight,1
24.2,62,8.1,290,9.1,1014.9,Late Blight,0
18.9,77,3.8,95,12.1,1016.1,Early Blight,1
22,67,4.5,150,10.9,1014.6,Late Blight,0
19.1,75,2.7,200,12.4,1015.9,Early Blight,1
21.6,70,5.2,221,10.5,1014.5,Late Blight,0
20.2,73,3.9,118,11.3,1016.2,Early Blight,1
23.5,63,7.3,270,8.8,1015,Late Blight,0
19.6,74,4,84,11.6,1016.4,Early Blight,1
25.1,60,9.2,315,8.6,1014.7,Late Blight,0
20.8,71,4.1,167,10.8,1014.4,Early Blight,1
22.3,68,6.1,237,10.1,1015.1,Late Blight,0
18.8,78,3.5,156,12.5,1015.4,Early Blight,1
23,64,7,285,9.7,1014.6,Late Blight,0
19.4,75,3.5,103,11.9,1016,Early Blight,1
21.9,69,5.8,200,10.4,1014.8,Late Blight,0
20.1,73,3.6,129,11.2,1016.3,Early Blight,1
24.8,61,8.6,302,9,1014.8,Late Blight,0
19.9,73,4.1,94,11.5,1016.1,Early Blight,1
22.8,66,6.4,256,10.3,1014.9,Late Blight,0
18.7,79,3.1,167,12.9,1015.6,Early Blight,1
23.3,63,7.6,295,9.3,1014.7,Late Blight,0
19.5,74,3.8,77,11.7,1016.5,Early Blight,1
24.6,61,9.5,330,8.5,1014.6,Late Blight,0
22.5,75,5.2,185,10.2,1015.6,Early Blight,1
25,65,6.1,240,9.3,1016.1,Late Blight,0
19.3,80,2.8,98,11.5,1014.7,Early Blight,1
27.2,59,8,310,9,1015,Late Blight,0
20.8,78,4.5,110,12,1016,Early Blight,1
23.1,70,2.2,200,8.8,1014.1,Late Blight,0
21,77,5.3,160,10.3,1015.8,Early Blight,1
